id,artist,album,title,key,time_signature,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,num_played,rate
spotify:track:3eMYc6FK9XvyauIaxcJtRS,The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits,Drown,2,4,0.432,0.415,-9.755,0.0357,0.00849,0.927,0.107,0.189,144.0,270400.0,1,8.0000
spotify:track:4EFcCYHBKuaNjwHK6B4omk,The Smashing Pumpkins,Cyr,Cyr,8,4,0.671,0.876,-6.991,0.0277,2.5e-05,0.0241,0.0857,0.504,127.0,243160.0,2,4.0000
spotify:track:1L1HpEtjT1SSwTAJSBHKhJ,The Smashing Pumpkins,Cyr,The Colour Of Love,9,4,0.499,0.724,-10.146,0.0344,7.52e-05,0.338,0.124,0.455,151.094,263733.0,1,5.0000
spotify:track:2NeM9rfWo70KQej9GxeaoL,SYML,SYML,Where's My Love,0,4,0.608,0.358,-10.018,0.0253,0.854,0.0186,0.113,0.365,103.94,202010.0,2,9.0000
spotify:track:1eKvw144NYPlDjR0wQoGLW,SYML,Where's My Love,Where's My Love - Acoustic,3,4,0.554,0.225,-11.324,0.0281,0.892,0.0321,0.107,0.221,104.007,239880.0,2,9.0000
spotify:track:2uhEKg8kIzpdvz4gyy6x8W,Ben Howard,Every Kingdom,Only Love,8,4,0.545,0.485,-9.941,0.151,0.3,0.00137,0.119,0.341,80.401,249173.0,1,7.0000
spotify:track:3CAX47TnPqTujLIQTw8nwI,Ben Howard,Every Kingdom,Old Pine,5,4,0.401,0.364,-10.836,0.033,0.45,0.0503,0.162,0.224,129.57,328507.0,1,9.0000
spotify:track:5fpEDGQX0Ah3utGnFYulQZ,Ben Howard,Every Kingdom,Keep Your Head Up,4,4,0.508,0.596,-9.034,0.0334,0.439,9.84e-06,0.111,0.4,79.359,264547.0,1,6.0000
spotify:track:4qyfir5Yr7nfo05g6cyFMT,Ben Howard,Every Kingdom,Promise,2,4,0.367,0.189,-15.736,0.0384,0.889,0.428,0.364,0.177,156.643,384080.0,3,10.0000
spotify:track:7gYwIAHB6VxzLJFSZMMv8i,Ben Howard,I Forget Where We Were,I Forget Where We Were,0,4,0.305,0.462,-9.57,0.0338,0.475,0.122,0.0916,0.181,113.468,281213.0,1,10.0000
spotify:track:2Yu0AtCUsskiFKqtLCm0zc,"Ben Howard, Sylvan Esso",Another Friday Night / Hot Heavy Summer / Sister,Hot Heavy Summer,11,4,0.617,0.248,-14.998,0.0378,0.761,0.599,0.114,0.619,161.903,229292.0,1,5.0000
spotify:track:2Viw81MZJPsOjODAz4A5nW,Ben Howard,I Forget Where We Were,She Treats Me Well,0,4,0.625,0.494,-12.597,0.0393,0.374,0.308,0.0713,0.596,79.589,317933.0,2,6.0000
